Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000740931861202631,-4.48305072513504E-18,-0.0150251748350002,0,0,0,5.7905552345472,0.115480968122851,-2.87284031780095E-17,2.13440240516794E-05,0.115166752909652,1.01618034046436E-19,0.229780116928925,0,0,0,0,0,0,package://robot_ehang_2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/base_link.STL,,base-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turntable_lf_Link,2.77555756156289E-17,2.77555756156289E-17,-0.0254858770205358,0,0,0,0.444639349653019,0.00073928927023106,7.61006163548786E-20,1.44058079470147E-19,0.000612309735948238,4.61906307609281E-20,0.000935490336925797,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_lf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_lf_Link.STL,,turn_1-1/turntable_1-1,坐标系2,基准轴1,turntable_lf_Joint,continuous,0.151108606892245,0.15,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lf_1_Link,0,-0.00151578947368425,-1.38777878078145E-17,0,0,0,0.093266031903447,5.47649111994664E-05,-2.89664055852232E-22,-4.81832706812139E-20,9.87141180697017E-05,2.72102368573993E-21,5.47649111994664E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/lf_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/lf_1_Link.STL,,turn_1-1/wheel_1_2-1,坐标系6,基准轴5,lf_1_Joint,continuous,0,0.0625,-0.08,0,0,0,turntable_lf_Link,0,-1,0,,,,,,,,,,,,
lf_2_Link,0,0.00130346232179225,-2.08166817117217E-17,0,0,0,0.0964076245570366,5.49986625531219E-05,-1.75439841024276E-21,4.75400126623466E-20,9.8871197702381E-05,-2.5278461227548E-21,5.49986625531219E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/lf_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/lf_2_Link.STL,,turn_1-1/wheel_1_1-1,坐标系7,基准轴5,lf_2_Joint,continuous,0,-0.0624999999999999,-0.08,0,0,0,turntable_lf_Link,0,-1,0,,,,,,,,,,,,
turntable_lb_Link,2.77555756156289E-17,2.77555756156289E-17,-0.0254858770205358,0,0,0,0.44463934965302,0.00073928927023106,1.09996246982865E-19,1.32202795781894E-19,0.000612309735948238,4.60388236780283E-20,0.000935490336925797,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_lb_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_lb_Link.STL,,turn_2-1/turntable_2-1,坐标系3,基准轴2,turntable_lb_Joint,continuous,-0.148891393107755,0.15,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lb_1_Link,2.77555756156289E-17,-0.00151578947368425,-1.38777878078145E-17,0,0,0,0.093266031903447,5.47649111994664E-05,1.96029342537779E-21,-4.94471134658042E-20,9.87141180697016E-05,1.29181137444782E-21,5.47649111994664E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/lb_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/lb_1_Link.STL,,turn_2-1/wheel_2_2-1,坐标系8,基准轴6,lb_1_Joint,continuous,0,0.0625,-0.08,0,0,0,turntable_lb_Link,0,-1,0,,,,,,,,,,,,
lb_2_Link,0,0.00130346232179225,-1.38777878078145E-17,0,0,0,0.0964076245570366,5.49986625531219E-05,5.30686683275713E-22,5.15076747464944E-20,9.8871197702381E-05,4.17065314415243E-22,5.4998662553122E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/lb_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/lb_2_Link.STL,,turn_2-1/wheel_2_1-1,坐标系9,基准轴6,lb_2_Joint,continuous,0,-0.0625,-0.08,0,0,0,turntable_lb_Link,0,-1,0,,,,,,,,,,,,
turntable_rf_Link,0,2.77555756156289E-17,-0.0254858770205358,0,0,0,0.44463934965302,0.00073928927023106,1.11735717249125E-19,1.34473512808538E-19,0.000612309735948238,1.88296083514115E-19,0.000935490336925797,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_rf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/turntable_rf_Link.STL,,turn_3-1/turntable_3-1,坐标系4,基准轴3,turntable_rf_Joint,continuous,0.151108606892245,-0.15,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rf_1_Link,2.77555756156289E-17,-0.00151578947368421,-1.38777878078145E-17,0,0,0,0.0932660319034468,5.47649111994663E-05,-1.10467205265451E-21,-4.88036561406287E-20,9.87141180697015E-05,1.79605291045443E-21,5.47649111994663E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/rf_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/rf_1_Link.STL,,turn_3-1/wheel_3_2-1,坐标系10,基准轴7,rf_1_Joint,continuous,0,0.0625,-0.08,0,0,0,turntable_rf_Link,0,-1,0,,,,,,,,,,,,
rf_2_Link,0,0.00130346232179226,-1.38777878078145E-17,0,0,0,0.0964076245570367,5.4998662553122E-05,-3.23771328108907E-21,4.63221143029695E-20,9.88711977023811E-05,-2.15830121824928E-21,5.4998662553122E-05,0,0,0,0,0,0,package://robot_ehang_2/meshes/rf_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ehang_2/meshes/rf_2_Link.STL,,turn_3-1/wheel_3_1-1,坐标系11,基准轴7,rf_2_Joint,continuous,0,-0.0624999999999999,-0.08,0,0,0,turntable_rf_Link,0,-1,0,,,,,,,,,,,,
